time,gFx,gFy,gFz,TgF
4.877671612,0.0552,0.0166,1.0472,1.049
4.887723535,0.0461,0.0105,1.0448,1.046
4.897662881,0.0474,0.0015,1.0522,1.053
4.90776365,0.0512,-0.0010,1.0428,1.044
4.918206612,0.0265,-0.0184,1.0142,1.015
4.947848958,0.0170,-0.0285,1.0014,1.002
4.949094727,0.0437,-0.0095,1.0448,1.046
4.949884612,0.0341,-0.0118,1.0279,1.029
4.957969611,0.0397,-0.0038,1.0277,1.028
4.967872727,0.0489,0.0125,1.0456,1.047
4.978399035,0.0480,0.0106,1.0461,1.047
4.988276958,0.0275,-0.0103,1.0076,1.008
4.998229342,0.0492,0.0006,1.0383,1.039
5.008129227,0.0563,-0.0087,1.0422,1.044
5.023188496,0.0424,-0.0195,1.0346,1.036
5.051404458,0.0420,-0.0053,1.0451,1.046
5.052577496,0.0470,-0.0070,1.0530,1.054
5.053417727,0.0429,0.0013,1.0409,1.042
5.05781615,0.0634,0.0205,1.0665,1.069
5.067900496,0.0375,0.0022,1.0195,1.020
5.079708381,0.0288,-0.0107,1.0075,1.008
5.08790015,0.0310,-0.0126,1.0024,1.003
5.098058342,0.0235,-0.0214,0.9999,1.000
5.108141842,0.0274,-0.0241,1.0240,1.025
5.122613419,0.0277,-0.0149,1.0111,1.012
5.129771419,0.0307,-0.0127,1.0098,1.010
5.138314573,0.0333,-0.0050,1.0246,1.025
5.157093881,0.0305,0.0053,1.0006,1.001
5.158759034,0.0226,-0.0026,0.9914,0.992
5.171414534,0.0362,-0.0062,1.0241,1.025
5.185288957,0.0326,-0.0068,1.0221,1.023
5.188246304,0.0303,-0.0198,1.0197,1.020
5.199104188,0.0297,-0.0213,1.0299,1.031
5.207969381,0.0520,0.0009,1.0752,1.076
5.218026381,0.0388,-0.0066,1.0517,1.052
5.239552611,0.0440,0.0032,1.0459,1.047
5.241556496,0.0519,0.0151,1.0438,1.045
5.278986419,0.0447,0.0094,1.0418,1.043
5.280212573,0.0452,-0.0023,1.0341,1.035
5.281542919,0.0479,-0.0033,1.0393,1.040
5.282213073,0.0315,-0.0162,1.0205,1.021
5.28790938,0.0304,-0.0235,1.0194,1.020
5.297822919,0.0342,-0.0086,1.0271,1.028
5.307757265,0.0459,-0.0032,1.0488,1.050
5.318667265,0.0492,0.0027,1.0440,1.045
5.351105996,0.0451,0.0142,1.0346,1.036
5.352444265,0.0369,0.0035,1.0235,1.024
